Wallet Address,$LABS Purchased,$LABS Held Snapshot,% Contributed (Adj.),% Revenue Allocation
FPN8XSRKtuG8sRnzAfYzdTAcewXvihnh8rR5KuRVHMxk,"1,014,264","1,018,594",25.707%,2.571%
GxEmQ2XcxsismsX4s4jbiEubuBtqax67Pa8g25AgGXwN,"609,630","1,032,688",15.451%,1.545%
D5B6PQycZLkrApdjrKjqEeBDZDXTJJUvnGJ64qkHP6eV,"528,809","601,084",13.403%,1.340%
AvHNzGNJKCDLmMCnQJk8oUzz4fnmjM276nUtEAuzSMPB,"479,176","653,202",12.145%,1.214%
3zxtSkehQA7Dtknwkt95FMnp4h4MDWYHM1epj9xeRsof,"281,807","4,745,374",7.142%,0.714%
HejWAp9fEFmYSSQSFXU7MM3HXtGZetcrfTNXf7ymrJaC,"238,511","244,819",6.045%,0.605%
AqMPDhyaAHskQTfribZFT2V64hAWa2mRu1H7u43xRwFj,"145,635","145,635",3.691%,0.369%
DBAMcasPmgSrStwH82DhVSKaWZrsjUR3nz6M3vc13aCs,"127,978","800,101",3.244%,0.324%
AKchXUd79Zg5AEo7kmTA2w39K2NrB7rTjxmQVEvXzv3w,"112,078","443,780",2.841%,0.284%
FZjBjCsGbctcCbzxJdk85fR38G7cd8cEqYbQ5muvkZsC,"108,221","108,769",2.743%,0.274%
HNymuYuTyYzGGAHs8YVebEfTsuVd866UHccparwiBzA8,"105,697","126,567",2.679%,0.268%
E3cezTAbXVRHmcrGHmLiFVdXtxq9Ywpq5ujzkV7aBEwR,"99,477","99,477",2.521%,0.252%
2kVip1UDmGfG7wobgQmw5sQ84bfgtaHSAtWDWCfwrUGL,"47,818","156,561",1.212%,0.121%
H7q8zE2gXsWqraa6UCCLCk31zpFwjigMxBfxNDz3gW6c,"46,086","637,845",1.168%,0.117%
3cJDqUPRUrDaRBr98FphgUMPt3R5Rfu7S64KPVuzLqhQ,352,"211,858",0.009%,0.001%